tau_lo,tau_hi,delta,N_total,N_keep,N_erasure,Erasure_frac,Erasure_atom,Erasure_bkd,Erasure_TP,Erasure_TN,Erasure_FP,Erasure_FN,Keep_TP,Keep_TN,Keep_FP,Keep_FN,F1_data,F0_data,f_kept,F_data,N_error,N_correct,N_erase_error,N_erase_correct,P_erase_given_error,P_erase_given_correct,F1_cdf,F0_cdf,eps_atom_cdf,eps_bkd_cdf,eps_cdf,F1_cond_cdf,F0_cond_cdf,f_kept_cdf,F_cdf,P_erase_error_cdf,P_erase_correct_cdf,F_loss_data,N_erasure_loss,F_loss_cdf,P_erase_error_loss_cdf,P_erase_correct_loss_cdf
0.5,0.5,0.0,27216,27216,0,0.0,0,0,0,0,0,0,15376,11653,110,77,0.995017148773701,0.9906486440533877,0.5677910052910053,0.9931290417401528,187,27029,0,0,0.0,0.0,0.9989267,0.9998357,0.0,0.0,0.0,0.9989267,0.9998357,0.5677910052910053,0.9993195779761905,0.0,0.0,0.9931290417401528,0,0.9993151788690475,0.0,0.0
0.495,0.505,0.0050000000000000044,27216,27216,0,0.0,0,0,0,0,0,0,15376,11653,110,77,0.995017148773701,0.9906486440533877,0.5677910052910053,0.9931290417401528,187,27029,0,0,0.0,0.0,0.9989246,0.9998328,4.2e-06,6.3e-06,5.107638888888888e-06,0.9989287955009412,0.9998390989863236,0.5677915206428348,0.9993222363861118,0.003912089262217727,2.447432482730232e-06,0.9931287892706228,1,0.9993178939104534,0.0039698698985382724,2.5746467703967044e-06
0.49,0.51,0.010000000000000009,27216,27213,3,0.00011022927689594356,1,2,1,1,1,0,15375,11652,109,77,0.9950168263008025,0.9907320806053908,0.5678168522397383,0.9931650314188072,187,27029,1,2,0.0053475935828877,7.399459839431722e-05,0.9989215,0.9998285,9.9e-06,1.36e-05,1.149917328042328e-05,0.9989313894207553,0.9998420978525308,0.5677919132976512,0.9993250049695966,0.00798733006991362,6.068547162559922e-06,0.9931650314188072,3,0.9993211868502122,0.0087849282468663,5.954937855636837e-06
0.485,0.515,0.015000000000000013,27216,27213,3,0.00011022927689594356,1,2,1,1,1,0,15375,11652,109,77,0.9950168263008025,0.9907320806053908,0.5678168522397383,0.9931650314188072,187,27029,1,2,0.0053475935828877,7.399459839431722e-05,0.998919,0.9998247,1.45e-05,2.11e-05,1.7352579365079365e-05,0.9989334845355258,0.9998457967463114,0.5677926249880166,0.9993277926013407,0.012089981503659463,9.13250363914828e-06,0.9931650314188072,3,0.9993243308610034,0.013382206791243474,9.232612370584951e-06
0.48,0.52,0.020000000000000018,27216,27213,3,0.00011022927689594356,1,2,1,1,1,0,15375,11652,109,77,0.9950168263008025,0.9907320806053908,0.5678168522397383,0.9931650314188072,187,27029,1,2,0.0053475935828877,7.399459839431722e-05,0.9989169,0.9998212,1.84e-05,2.85e-05,2.276531084656085e-05,0.9989352804091595,0.9998496957163279,0.5677934839316664,0.9993304966633103,0.016069333720581325,1.183943808955794e-05,0.9931650314188072,3,0.9993274155140778,0.01789285629608898,1.2675644835145842e-05
0.475,0.525,0.025000000000000022,27216,27212,4,0.00014697236919459142,1,3,1,2,1,0,15375,11651,109,77,0.9950168263008025,0.9907312925170068,0.5678377186535352,0.99316478024401,187,27029,1,3,0.0053475935828877,0.00011099189759147582,0.9989139,0.999818,2.34e-05,3.39e-05,2.7938194444444442e-05,0.9989372751322381,0.9998518949792398,0.5677935821089828,0.9993325797000427,0.01913572740851679,1.4927981401390599e-05,0.99316478024401,4,0.9993298391554912,0.02143701738051844,1.5525910249193695e-05
0.47,0.53,0.030000000000000027,27216,27212,4,0.00014697236919459142,1,3,1,2,1,0,15375,11651,109,77,0.9950168263008025,0.9907312925170068,0.5678377186535352,0.99316478024401,187,27029,1,3,0.0053475935828877,0.00011099189759147582,0.9989105,0.9998156,2.91e-05,3.89e-05,3.333564814814815e-05,0.9989395691414621,0.9998544943398298,0.5677934103340991,0.999335005841248,0.02270654465633247,1.7897793131989672e-05,0.99316478024401,4,0.9993326789649288,0.025588788946791275,1.792500690498248e-05
0.46499999999999997,0.535,0.03500000000000003,27216,27211,5,0.00018371546149323928,1,4,1,3,1,0,15375,11650,109,77,0.9950168263008025,0.9907305042945829,0.567858586601007,0.9931645290507516,187,27029,1,4,0.0053475935828877,0.00014798919678863444,0.9989077,0.9998123,3.5e-05,4.55e-05,3.9538194444444446e-05,0.9989426629932048,0.9998577935296056,0.5677935821388751,0.9993381882842179,0.027389582076405468,2.0915951250599407e-05,0.9931645290507516,5,0.999335888621806,0.030281340119371336,2.0759156785417886e-05
0.46,0.54,0.04000000000000001,27216,27209,7,0.000257201646090535,2,5,1,3,2,1,15375,11650,108,76,0.9950812245162125,0.9908147644157169,0.5678635745525378,0.9932375316990701,187,27029,3,4,0.016042780748663103,0.00014798919678863444,0.9989053,0.9998078,3.98e-05,5.29e-05,4.546193783068783e-05,0.9989450580133089,0.9998606926306403,0.5677942202345357,0.999340800587073,0.03123440838391906,2.4225842262229023e-05,0.9932375316990701,7,0.999338373784717,0.03391584843510724,2.4209833373725133e-05
0.455,0.545,0.04500000000000001,27216,27208,8,0.00029394473838918284,2,6,1,4,2,1,15375,11649,108,76,0.9950812245162125,0.9908139831589691,0.5678844457512496,0.993237283152014,187,27029,3,5,0.016042780748663103,0.00018498649598579304,0.9989036,0.9998044,4.45e-05,5.94e-05,5.093991402116402e-05,0.9989480531883669,0.9998637919092395,0.5677946620025339,0.999343840351739,0.035706957468136846,2.666225534235312e-05,0.993237283152014,8,0.9993412859773287,0.038174047204907274,2.7444257370333463e-05
0.45,0.55,0.05000000000000002,27216,27205,11,0.0004041740152851264,3,8,2,6,2,1,15374,11647,108,76,0.9950809061488674,0.9908124202467036,0.5679103106046682,0.9932365374012131,187,27029,3,8,0.016042780748663103,0.0002959783935772689,0.9989005,0.9998005,5.1e-05,6.57e-05,5.735347222222222e-05,0.9989514465237727,0.9998661912087623,0.5677946129422967,0.9993468041044076,0.040068649038134875,3.011036871039653e-05,0.9932365374012131,11,0.9993437800282721,0.041820917301089174,3.0337773302721104e-05
0.44,0.56,0.060000000000000026,27216,27202,14,0.00051440329218107,3,11,2,6,5,1,15374,11647,105,76,0.9950809061488674,0.9910653505786249,0.5679729431659437,0.9933460774943019,187,27029,6,8,0.03208556149732621,0.0002959783935772689,0.9988955,0.9997935,6.19e-05,7.82e-05,6.89450066137566e-05,0.998957335459065,0.9998716899661554,0.5677950056581982,0.9993525240436283,0.048485655251501725,3.597877969589382e-05,0.9933460774943019,14,0.9993493160507765,0.0499153242183552,3.636309666142506e-05
0.43,0.5700000000000001,0.07000000000000003,27216,27201,15,0.0005511463844797178,3,12,2,7,5,1,15374,11646,105,76,0.9950809061488674,0.9910645902476385,0.5679938237564796,0.9933458328737914,187,27029,6,9,0.03208556149732621,0.00033297569277442745,0.998891,0.999785,7.11e-05,9.13e-05,7.983062169312168e-05,0.9989620262000628,0.9998762887051589,0.5677959628552387,0.9993571741457754,0.05532961229224665,4.2211856797665944e-05,0.9933458328737914,15,0.9993547038023813,0.05779315853679206,4.2650471171416485e-05
0.42,0.58,0.07999999999999999,27216,27198,18,0.0006613756613756613,3,15,2,8,7,1,15374,11645,103,76,0.9950809061488674,0.9912325502213143,0.5680564747407898,0.9934186337230679,187,27029,8,10,0.0427807486631016,0.0003699729919715861,0.9988851,0.9997754,8.11e-05,0.0001062,9.194844576719577e-05,0.9989661161520198,0.9998815874245844,0.5677971655073556,0.9993617854309188,0.06211753307087173,4.97161361550368e-05,0.9934186337230679,18,0.9993597129509642,0.0651178514684757,4.9145626863240743e-05
0.41000000000000003,0.59,0.08999999999999997,27216,27197,19,0.0006981187536743092,3,16,2,9,7,1,15374,11644,103,76,0.9950809061488674,0.9912318038648166,0.5680773614736919,0.9934183917343824,187,27029,8,11,0.0427807486631016,0.0004069702911687447,0.9988798,0.9997664,9.22e-05,0.0001205,0.00010443151455026456,0.9989719052096603,0.9998868863698076,0.5677979509602947,0.9993673619419087,0.07032405094838336,5.662000698121975e-05,0.9934186337230679,18,0.9993656997896615,0.07387182697602215,5.676102723552153e-05
0.4,0.6,0.09999999999999998,27216,27194,22,0.0008083480305702528,3,19,2,10,9,1,15374,11643,101,76,0.9950809061488674,0.9913998637602179,0.5681400308891668,0.9934912112966097,187,27029,10,12,0.053475935828877004,0.00044396759036590327,0.9988742,0.9997551,0.0001034,0.000137,0.00011792222222222222,0.9989774942729078,0.9998920852156746,0.5677992518506126,0.9993727811626223,0.07830015432571269,6.468908863192808e-05,0.9934914506343078,21,0.9993707787336292,0.0812992289194582,6.446210135836214e-05
0.39,0.61,0.10999999999999999,27216,27192,24,0.0008818342151675485,4,20,3,10,10,1,15373,11643,100,76,0.9950805877403068,0.9914842885123052,0.5681450426596057,0.9935275080906149,187,27029,11,13,0.058823529411764705,0.0004809648895630619,0.9988679,0.9997467,0.0001151,0.00015,0.0001301840939153439,0.9989828829298253,0.9998966845026753,0.5677995710189749,0.9993778283616146,0.08572823958364618,7.190163509627908e-05,0.993527270052591,25,0.9993760534198088,0.08901124154238127,7.087922742337295e-05
0.38,0.62,0.12,27216,27188,28,0.00102880658436214,5,23,4,12,11,1,15372,11641,99,76,0.9950802692905231,0.9915672913117547,0.5681918493452994,0.9935633367662204,187,27029,12,16,0.06417112299465241,0.0005919567871545378,0.9988633,0.9997338,0.0001245,0.000167,0.00014286888227513225,0.9989876739654087,0.999900783430833,0.567801436467429,0.999382318564713,0.09233803989334739,8.009454438828507e-05,0.9935633367662204,28,0.9993809835037892,0.09622207088698817,7.999228040393369e-05
0.37,0.63,0.13,27216,27184,32,0.0011757789535567313,5,27,4,16,11,1,15372,11637,99,76,0.9950802692905231,0.9915644171779141,0.5682754561506769,0.9935623896409652,187,27029,12,20,0.06417112299465241,0.0007399459839431722,0.9988577,0.9997227,0.0001354,0.0001831,0.00015601636904761905,0.9989929636472779,0.9999057827488212,0.567802712906492,0.9993874815865721,0.09993676115848192,8.807712538310026e-05,0.9935623896409652,32,0.9993869682518435,0.10497232820275985,8.78476930252722e-05
0.36,0.64,0.14,27216,27181,35,0.001286008230452675,6,29,5,18,11,1,15371,11635,99,76,0.995079950799508,0.9915629793761718,0.5683013869982708,0.9935616791140871,187,27029,12,23,0.06417112299465241,0.000850937881534648,0.9988529,0.999711,0.0001453,0.000198,0.00016807741402116402,0.9989980544173069,0.9999089819784318,0.5678039402758892,0.9993917537199192,0.10622521561810816,9.586466626091691e-05,0.9935616791140871,35,0.9993918373194961,0.11209281031606029,9.60762447780563e-05
0.35,0.65,0.15000000000000002,27216,27178,38,0.0013962375073486185,7,31,6,20,11,1,15370,11633,99,76,0.9950796322672537,0.9915615410842141,0.568327323570535,0.9935609684303481,187,27029,12,26,0.06417112299465241,0.0009619297791261238,0.9988468,0.9996985,0.0001558,0.000214,0.0001809545634920635,0.9990024445808657,0.9999124812709921,0.5678052904108558,0.9993957576238703,0.11212010403207393,0.00010473684064990782,0.9935609684303481,38,0.9993964092507863,0.11877894002658071,0.0001041962565919311
0.33999999999999997,0.66,0.16000000000000003,27216,27173,43,0.0015799529688418578,8,35,6,23,12,2,15370,11630,98,75,0.9951440595662027,0.991643929058663,0.5683950980752953,0.9936333860817723,187,27029,14,29,0.0748663101604278,0.0010729216767175996,0.9988404,0.9996833,0.0001671,0.0002327,0.00019545291005291005,0.9990073341255323,0.9999159804486504,0.5678071069654264,0.9994000446086659,0.11843222688688869,0.0001149472271752104,0.9936333860817723,43,0.999401463843163,0.12617167103892216,0.0001142498015248522
0.32999999999999996,0.67,0.17000000000000004,27216,27171,45,0.0016534391534391533,8,37,6,24,13,2,15370,11629,97,75,0.9951440595662027,0.9917277844107112,0.5684369364395864,0.9936697213941335,187,27029,15,30,0.08021390374331551,0.0011099189759147582,0.9988353,0.9996688,0.0001774,0.0002528,0.00020998855820105822,0.9990125248219034,0.9999215801754684,0.5678095126675646,0.9994054098981728,0.12632862560690966,0.00012411623051728526,0.9936699543647873,44,0.9994070699167368,0.13436878696794063,0.00012316189016120673
0.32,0.6799999999999999,0.17999999999999997,27216,27169,47,0.0017269253380364491,8,39,6,26,13,2,15370,11627,97,75,0.9951440595662027,0.99172637325145,0.5684787809635983,0.9936692554013766,187,27029,15,32,0.08021390374331551,0.0011839135743090755,0.9988296,0.9996532,0.0001884,0.0002726,0.00022479199735449734,0.9990178149563378,0.9999257797675646,0.5678116729857001,0.9994102267490896,0.13341918108130252,0.0001341018940302809,0.9936694884063306,46,0.9994124380629396,0.14221938673883242,0.00013356143924084606
0.31,0.69,0.18999999999999997,27216,27166,50,0.0018371546149323927,8,42,6,27,15,2,15370,11626,95,75,0.9951440595662027,0.9918948895145465,0.5685415593020687,0.9937421777221527,187,27029,17,33,0.09090909090909091,0.001220910873506234,0.9988248,0.9996385,0.0001986,0.00029,0.00023810390211640212,0.9990232060087133,0.9999284792589851,0.5678134405932339,0.9994144529400713,0.13964037258622464,0.00014318694474649472,0.9937421777221527,50,0.9994169343308102,0.14879537105405086,0.00014303068853312024
0.3,0.7,0.19999999999999998,27216,27163,53,0.0019473838918283362,8,45,6,29,16,2,15370,11624,94,75,0.9951440595662027,0.9919781532684758,0.5686043515075654,0.9937783013658285,187,27029,18,35,0.0962566844919786,0.0012949054719005512,0.9988185,0.9996221,0.0002109,0.0003093,0.00025342936507936507,0.9990291952572798,0.9999313787754551,0.5678151592032687,0.9994191052974519,0.14648928686785095,0.00015385951744657138,0.9937783013658285,53,0.9994207925078842,0.15443953787994785,0.00015300537655310814
0.29000000000000004,0.71,0.20999999999999996,27216,27157,59,0.0021678424456202236,9,50,7,33,17,2,15369,11620,93,75,0.9951437451437452,0.9920601041577735,0.5686931546194351,0.9938137496777996,187,27029,19,40,0.10160427807486631,0.0014798919678863443,0.9988116,0.9996045,0.0002228,0.0003305,0.0002693489087301587,0.9990341848163771,0.9999349785103977,0.5678174424635121,0.9994234921388717,0.15294837733467817,0.0001653920006455154,0.9938137496777996,59,0.9994256339602194,0.16152042366525726,0.000163728890877236
0.28,0.72,0.21999999999999997,27216,27155,61,0.002241328630217519,10,51,7,34,17,3,15369,11619,93,74,0.9952081849381597,0.9920594262295082,0.568698213956914,0.9938501196832995,187,27029,20,41,0.10695187165775401,0.0015168892670835029,0.998806,0.9995853,0.0002359,0.0003522,0.0002861659060846561,0.9990416739308802,0.9999374779797445,0.5678195539900174,0.9994288229242558,0.16079491204348065,0.00017687785820400285,0.9938501196832995,61,0.9994297152636585,0.1674925156904071,0.0001765351807364105
0.27,0.73,0.22999999999999998,27216,27155,61,0.002241328630217519,10,51,7,34,17,3,15369,11619,93,74,0.9952081849381597,0.9920594262295082,0.568698213956914,0.9938501196832995,187,27029,20,41,0.10695187165775401,0.0015168892670835029,0.9988008,0.9995609,0.000248,0.0003793,0.000304749041005291,0.999048564043883,0.9999401773092533,0.5678232367085406,0.9994338985790184,0.1682678068709497,0.00019038546177337307,0.9938501196832995,61,0.9994350035806159,0.17522925187422214,0.0001916066130828662
0.26,0.74,0.24,27216,27152,64,0.0023515579071134627,12,52,7,35,17,5,15369,11618,93,72,0.9953370895667379,0.9920587481854667,0.5686873895109016,0.9939230995875074,187,27029,22,42,0.11764705882352941,0.0015538865662806615,0.9987952,0.9995382,0.0002598,0.0004049,0.0003225135251322751,0.9990547544251996,0.9999430769518579,0.5678266249543087,0.9994386637696746,0.1752836149289156,0.00020338508080999053,0.9939230995875074,64,0.9994400657476039,0.1826343446670096,0.00020542887647996574
0.25,0.75,0.25,27216,27148,68,0.0024985302763080542,12,56,7,37,19,5,15369,11616,91,72,0.9953370895667379,0.9922268728111386,0.5687711801974362,0.9939958744658907,187,27029,24,44,0.12834224598930483,0.0016278811646749788,0.9987883,0.9995141,0.0002731,0.0004324,0.00034195089285714287,0.9990611435983167,0.9999464768565928,0.5678301115811066,0.9994437579737594,0.1827839203824346,0.00021772883532546167,0.9939958744658907,68,0.9994453307323001,0.19033520271460833,0.00021903151195799784
0.24,0.76,0.26,27216,27145,71,0.002608759553203998,13,58,8,38,20,5,15368,11615,90,72,0.9953367875647668,0.9923109782144383,0.5687972002210352,0.9940320501013078,187,27029,25,46,0.13368983957219252,0.001701875763069296,0.9987806,0.9994854,0.0002868,0.0004637,0.00036325777116402117,0.9990671324535877,0.9999490763867205,0.5678344331012464,0.999448278253423,0.1894422724925328,0.00023451664701115306,0.9940320501013078,71,0.9994502919461612,0.19759427197587753,0.0002353241509829626
0.22999999999999998,0.77,0.27,27216,27142,74,0.0027189888300999413,14,60,8,38,22,6,15368,11615,88,71,0.9954012565580672,0.9924805605400324,0.5688232259966104,0.9941419202711663,187,27029,28,46,0.1497326203208556,0.001701875763069296,0.9987731,0.9994514,0.0003019,0.0005007,0.0003878231481481482,0.9990747206581666,0.9999520760044555,0.5678398106095024,0.9994538787107816,0.19768985770871855,0.00025348309055684326,0.9941419202711663,74,0.9994550547856014,0.20456501236588492,0.0002537496328989404
0.21999999999999997,0.78,0.28,27216,27133,83,0.003049676660787772,15,68,8,45,23,7,15368,11608,87,70,0.9954657339033554,0.9925609234715691,0.5689750488335238,0.9942136881288468,187,27029,30,53,0.16042780748663102,0.001960856857449406,0.9987668,0.9994209,0.000316,0.0005336,0.0004100486772486772,0.999082510073183,0.9999544757082379,0.5678444271895855,0.9994593348816712,0.20572321235818766,0.00027025395949738647,0.9942136881288468,83,0.9994602969849601,0.21223491767416383,0.0002714432313305104
0.21000000000000002,0.79,0.29000000000000004,27216,27128,88,0.003233392122281011,17,71,9,48,23,8,15367,11605,87,69,0.9955299300336875,0.9925590147109135,0.5690061928634621,0.9942494839280448,187,27029,31,57,0.1657754010695187,0.0021088460542380404,0.9987592,0.9993852,0.0003311,0.0005719,0.00043517592592592593,0.9990899986985691,0.9999570754514506,0.5678501243928233,0.9994647058094688,0.2136332677908328,0.0002900124763787531,0.9942494839280448,88,0.9994655545762734,0.21992833933821304,0.0002909177451377579
0.2,0.8,0.30000000000000004,27216,27125,91,0.0033436213991769547,18,73,10,48,25,8,15366,11605,85,69,0.9955296404275996,0.9927288280581694,0.5690322580645162,0.9943225806451613,187,27029,33,58,0.17647058823529413,0.0021458433534351992,0.9987509,0.999343,0.0003484,0.000617,0.000464491335978836,0.9990989860867526,0.999959975304763,0.567856951538827,0.9994710565921159,0.22298558871755303,0.0003129799889007401,0.9943225806451613,91,0.999471608220702,0.2287862310626336,0.0003134418341310199
0.18,0.8200000000000001,0.32000000000000006,27216,27114,102,0.003747795414462081,20,82,11,56,26,9,15365,11597,84,68,0.9955938573187326,0.9928088348600291,0.5691893486759607,0.9943940399793465,187,27029,35,67,0.18716577540106952,0.0024788190462096266,0.9987363,0.9992528,0.0003777,0.0007122,0.0005222739087301588,0.9991136652313579,0.9999649750552344,0.5678731359506828,0.999481539075884,0.23842831747064852,0.0003602871777539203,0.9943940399793465,102,0.999482784780301,0.24514448820804452,0.00036254282063523976
0.15999999999999998,0.8400000000000001,0.3400000000000001,27216,27101,115,0.004225455614344504,21,94,11,67,27,10,15365,11586,83,67,0.9956583722135822,0.9928871368583426,0.569425482454522,0.9944651488874949,187,27029,37,78,0.19786096256684493,0.0028857893373783715,0.9987192,0.9991359,0.0004132,0.000833,0.0005946413359788359,0.9991320413594897,0.999968874072102,0.5678940873464132,0.9994936417225113,0.25625985312375676,0.00042056264818345377,0.9944653531104715,114,0.9994932982870219,0.26053997512481414,0.00042155244463564775
0.14,0.86,0.36,27216,27088,128,0.004703115814226925,23,105,11,73,32,12,15365,11580,78,65,0.9957874270900843,0.993309315491508,0.5696249261665682,0.9947209096278795,187,27029,44,84,0.23529411764705882,0.003107773132561323,0.9986997,0.9989818,0.0004544,0.0009926,0.0006870148809523808,0.9991537154482997,0.9999743745641925,0.5679231727291038,0.9995083032353655,0.27786146766795156,0.0004982908668631456,0.9947209096278795,128,0.999508073304626,0.28216864839045025,0.0004995218450196036
0.12,0.88,0.38,27216,27071,145,0.005327748383303939,25,120,12,86,34,13,15364,11567,76,64,0.9958516982110448,0.993472472730396,0.5699087584500019,0.9948284141701451,187,27029,47,98,0.25133689839572193,0.0036257353213215433,0.9986784,0.9987762,0.0004975,0.0012038,0.0008027692129629629,0.9991754898061785,0.9999799758949823,0.5679644736593835,0.9995230563769886,0.29961004982415884,0.000599315724125847,0.9948286052009456,144,0.9995239620978795,0.30543574044722893,0.0006013052720061584
0.09999999999999998,0.9,0.4,27216,27051,165,0.006062610229276896,28,137,13,101,36,15,15363,11552,74,62,0.9959805510534846,0.9936349561328058,0.570219215555802,0.994972459428487,187,27029,51,114,0.2727272727272727,0.004217692108476081,0.9986517,0.9984984,0.0005492,0.0014858,0.0009540069444444444,0.9992004608931225,0.999984176489428,0.5680210705167632,0.9995390095174338,0.32313964226800185,0.0007346354772375493,0.994972459428487,165,0.9995411662586939,0.33063822375508295,0.0007344504208715534
0.08000000000000002,0.9199999999999999,0.41999999999999993,27216,27030,186,0.0068342151675485005,31,155,14,118,37,17,15362,11535,73,60,0.9961094540267151,0.993711233631978,0.57055123936367,0.9950795412504625,187,27029,54,132,0.2887700534759358,0.004883643494024936,0.9986225,0.9980735,0.0006113,0.0019147,0.0011746412037037036,0.9992333313354453,0.9999881773631973,0.5681112415220501,0.9995593408492132,0.35313449742957337,0.0009349969067732765,0.9950795412504625,186,0.9995608597727126,0.35950858252823614,0.0009344065349379091
0.06,0.94,0.43999999999999995,27216,26993,223,0.008193709582598472,38,185,18,143,42,20,15358,11510,68,57,0.9963023029516704,0.9941267921920884,0.5710739821435187,0.9953691697847591,187,27029,62,161,0.3315508021390374,0.005956565170742536,0.9985854,0.9973675,0.0006881,0.0026244,0.0015249862764550263,0.9992729997511287,0.9999918786864246,0.56826690753562,0.9995833635769714,0.38861317881516305,0.0012614236112530107,0.9953691697847591,223,0.9995868290619878,0.3975981253746259,0.0012616140130039936
0.03999999999999998,0.96,0.45999999999999996,27216,26927,289,0.01061875367430923,45,244,22,195,49,23,15354,11458,61,54,0.9964953271028038,0.9947044014237347,0.5722137631373714,0.9957291937460542,187,27029,72,217,0.3850267379679144,0.008028413925783419,0.9985364,0.9959237,0.0007909,0.0040703,0.002208286177248677,0.9993267675404478,0.9999939754783896,0.5685975655292963,0.9996146026691741,0.4348415398512109,0.0019137125488321324,0.9957293523469994,288,0.9996180700326447,0.4435295278268265,0.0019158579525494915
0.030000000000000027,0.97,0.47,27216,26885,331,0.01216196355085244,46,285,22,233,52,24,15354,11420,58,53,0.996560005192445,0.9949468548527618,0.5730704854007811,0.9958713037009485,187,27029,76,255,0.40641711229946526,0.009434311295275445,0.9985046,0.9944892,0.0008615,0.0055074,0.002869499768518518,0.9993655534242749,0.999996581171142,0.5689344104991768,0.9996375677719695,0.46887047128100257,0.002552206551091647,0.9958713037009485,331,0.9996405818501266,0.47667657975224387,0.002555559790499385
0.025000000000000022,0.975,0.475,27216,26854,362,0.013300999412110524,48,314,24,261,53,24,15352,11392,57,53,0.996559558584875,0.9950213992488427,0.5736575556714083,0.9959037759737841,187,27029,77,285,0.4117647058823529,0.010544230271190204,0.9984825,0.9933398,0.0009081,0.0066572,0.0033929127314814814,0.9993900461008642,0.999996979894554,0.5692066628122002,0.9996515091353,0.4895690417779737,0.003061882545598766,0.9959037759737841,362,0.9996541265642136,0.49666181225343137,0.003064400153280247
0.020000000000000018,0.98,0.48,27216,26821,395,0.014513521457965903,49,346,24,290,56,25,15352,11363,54,52,0.9966242534406647,0.9952702110887274,0.5743260877670482,0.9960478729353864,187,27029,81,314,0.43315508021390375,0.011617151947907804,0.9984561,0.9916519,0.0009624,0.0083455,0.004153442228835979,0.9994179398252878,0.999997378119093,0.5696104071465402,0.9996673240366423,0.513104806472718,0.003806904719803316,0.9960478729353864,395,0.9996709703001947,0.521538784772276,0.003807226647565456
0.015000000000000013,0.985,0.485,27216,26769,447,0.01642416225749559,54,393,25,333,60,29,15351,11320,50,48,0.9968829144749659,0.9956024626209323,0.575254959094475,0.9963390488998468,187,27029,89,358,0.47593582887700536,0.013245033112582781,0.9984223,0.9888366,0.0010331,0.0111613,0.0054105991402116395,0.9994548367918897,0.9999978762967104,0.5702900311556813,0.9996881862805875,0.5442143118265867,0.005043735605560782,0.9963390488998468,447,0.9996926375956314,0.5536092028819752,0.005039934687899877
0.010000000000000009,0.99,0.49,27216,26672,544,0.019988242210464434,62,482,28,415,67,34,15348,11238,43,43,0.9972061594438308,0.9961882811807464,0.5770470905818836,0.9967756448710259,187,27029,101,443,0.5401069518716578,0.016389803544341264,0.9983767,0.9832418,0.0011304,0.0167565,0.007884140972222222,0.9995065421952976,0.9999982710284889,0.5716561923467298,0.9997171711960396,0.5876104359057428,0.007489413852342196,0.9967756448710259,544,0.9997221491484238,0.5974727595371498,0.007483977633116681
0.0050000000000000044,0.995,0.495,27216,26456,760,0.02792475014697237,69,691,30,620,71,39,15346,11033,39,38,0.9975299011960479,0.9964776011560693,0.5814938010281222,0.9970895071061385,187,27029,110,650,0.5882352941176471,0.024048244478153093,0.9982953,0.9667758,0.0012954,0.0332237,0.015095098445767195,0.9995901691050586,0.9999994828172762,0.5757464379839184,0.999763821905449,0.6581342831018059,0.01465726250914061,0.9970896171145633,759,0.9997707410191152,0.6702796384430318,0.014640969732487475
0.0040000000000000036,0.996,0.496,27216,26359,857,0.03148883009994121,75,782,31,711,71,44,15345,10942,39,33,0.9978540772532188,0.9964484108915399,0.583406047270382,0.9972684851473879,187,27029,115,742,0.6149732620320856,0.027451996004291688,0.9982711,0.9586333,0.0013508,0.0413662,0.018645815806878303,0.9996213885716826,0.9999994784243994,0.5777975396999714,0.9997810190377141,0.6841697122107826,0.018192670360251684,0.9972684851473879,857,0.9997866341105097,0.6942408734447757,0.01816969358534827
0.0030000000000000027,0.997,0.497,27216,26200,1016,0.03733098177542622,81,935,31,859,76,50,15345,10794,34,27,0.9982435597189696,0.9968599926117473,0.5867175572519084,0.9976717557251908,187,27029,126,890,0.6737967914438503,0.032927596285471164,0.9982381,0.945213,0.0014202,0.0547865,0.024485594874338622,0.9996578140274819,0.9999994710189813,0.5812160492209796,0.9998008944921933,0.7145443795045889,0.024015743982658357,0.9976717557251908,1016,0.9998052058953137,0.7225134725298784,0.023985757401923432
0.0020000000000000018,0.998,0.498,27216,25934,1282,0.04710464432686655,87,1195,32,1116,79,55,15344,10537,31,22,0.9985682676038006,0.9970666161998486,0.592504048739107,0.9979563507364848,187,27029,134,1148,0.7165775401069518,0.04247289947833808,0.9981924,0.9187809,0.0015146,0.0812187,0.035963428935185185,0.9997065555490345,0.9999995646406822,0.5880804173312583,0.9998272517317841,0.7552465347671229,0.03547367963241126,0.9979564295353769,1281,0.9998300267770102,0.7607155751818135,0.03542774589520152
0.0010000000000000009,0.999,0.499,27216,25200,2016,0.07407407407407407,95,1921,33,1840,81,62,15343,9813,29,15,0.9990233103268655,0.9970534444218655,0.6094444444444445,0.9982539682539683,187,27029,143,1873,0.7647058823529411,0.06929594139627807,0.9981163,0.8423066,0.0016696,0.1576933,0.06910444652777777,0.9997855419408244,0.999999881278399,0.6089222569752945,0.9998693652852044,0.8212766917046211,0.06859230349306102,0.998254176090148,2013,0.9998719997463835,0.8259899287222636,0.06850049196665453
0.0,1.0,0.5,27216,4938,22278,0.8185626102292769,10521,11757,10444,11653,104,77,4932,0,6,0,1.0,0.0,0.9987849331713244,0.9987849331713244,187,27029,181,22097,0.9679144385026738,0.8175293203596138,0.3244867,0.0,0.6755133,1.0,0.8157593704034392,1.0,,1.0,,1.0,0.8156339236646573,,27216,,1.0,1.0
